Symbol,Name,Column 3,Price,Change,Change %,Market Cap,Volume,Volume In Currency (24hr),Total Volume All Currencies (24hr),Circulating Supply,52 Wk Change %,52 Wk Range
"POL28321-USD","Polygon (prev. MATIC) USD","","0.14 -0.00 (-1.82%)","-0.00","-1.66%","1.525B","71.968M","71.968M","71.968M","10.564B","-67.31%","0.10 0.49"
"KCS-USD","KuCoin Token USD","","11.50 -0.02 (-0.19%)","-0.02","-0.18%","1.52B","1.451M","1.451M","1.451M","132.155M","+9.07%","7.20 16.23"
"WBNB-USD","Wrapped BNB USD","","949.56 -2.35 (-0.25%)","-1.98","-0.21%","1.503B","395.47M","395.47M","395.47M","1.583M","+38.72%","512.55 1,369.30"
"WLD-USD","Worldcoin USD","","0.54 -0.02 (-2.88%)","-0.02","-2.88%","1.48B","66.207M","66.207M","66.207M","2.735B","-71.07%","0.36 2.43"
"SKY33038-USD","Sky USD","","0.06 -0.00 (-0.30%)","-0.00","-0.30%","1.475B","13.136M","13.136M","13.136M","22.957B","+15.74%","0.03 0.10"
"RETH-USD","Rocket Pool ETH USD","","3,853.36 +12.22 (+0.32%)","+12.22","+0.32%","1.403B","929,571","929,571","929,571","363,986","+1.80%","1,591.74 5,615.23"
"APT21794-USD","Aptos USD","","1.83 -0.07 (-3.70%)","-0.07","-3.64%","1.395B","68.283M","68.283M","68.283M","763.972M","-78.05%","1.42 9.53"
"BBTC31369-USD","BounceBit BTC USD","","95,508.51 -84.70 (-0.09%)","-84.70","-0.09%","1.375B","4,572","4,572","4,572","14,399","-4.93%","71,540.39 125,124.31"
"MYX36410-USD","MYX Finance USD","","5.34 +0.22 (+4.29%)","+0.23","+4.46%","1.342B","12.469M","12.469M","12.469M","251.473M","+5,198.30%","0.05 19.01"
"RLUSD-USD","Ripple USD USD","","1.00 -0.00 (-0.00%)","-0.00","-0.01%","1.336B","21.616M","21.616M","21.616M","1.336B","-0.04%","0.99 1.02"
"ARB11841-USD","Arbitrum USD","","0.22 -0.00 (-1.87%)","-0.00","-1.85%","1.26B","80.709M","80.709M","80.709M","5.827B","-68.94%","0.14 0.79"
"RSETH-USD","Kelp DAO Restaked ETH USD","","3,535.03 +27.28 (+0.78%)","+27.28","+0.78%","1.226B","94,883","94,883","94,883","346,868","+2.65%","1,475.86 5,082.03"
"ATOM-USD","Cosmos USD","","2.50 -0.08 (-2.96%)","-0.07","-2.88%","1.223B","47.674M","47.674M","47.674M","488.474M","-56.43%","1.84 6.76"
"KAS-USD","Kaspa USD","","0.04 -0.00 (-0.88%)","-0.00","-0.86%","1.203B","14.545M","14.545M","14.545M","27.124B","-64.31%","0.01 0.14"
"GT-USD","GateToken USD","","10.33 -0.04 (-0.43%)","-0.05","-0.47%","1.19B","1.67M","1.67M","1.67M","115.181M","-48.05%","9.29 25.95"
"ONDO-USD","Ondo USD","","0.37 -0.02 (-4.95%)","-0.02","-4.95%","1.17B","66.019M","66.019M","66.019M","3.159B","-71.78%","0.33 1.64"
"ALGO-USD","Algorand USD","","0.13 -0.01 (-4.18%)","-0.01","-4.11%","1.136B","28.38M","28.38M","28.38M","8.857B","-66.85%","0.11 0.48"
"FIL-USD","Filecoin USD","","1.54 -0.03 (-2.04%)","-0.03","-2.03%","1.133B","117.203M","117.203M","117.203M","737.793M","-68.83%","0.63 5.60"
"USDD-USD","USDD USD","","1.00 +0.00 (+0.04%)","+0.00","+0.04%","1.124B","1.875M","1.875M","1.875M","1.125B","+0.08%","0.98 1.03"
"RENDER-USD","Render USD","","2.17 -0.06 (-2.53%)","-0.06","-2.51%","1.123B","37.006M","37.006M","37.006M","518.673M","-67.00%","0.72 7.62"
"LBTC33652-USD","Lombard Staked BTC USD","","95,149.03 -222.45 (-0.23%)","-222.63","-0.23%","1.121B","206,192","206,192","206,192","11,784","-7.93%","74,276.36 127,777.10"
"SLISBNB-USD","Lista Staked BNB USD","","980.78 +6.24 (+0.64%)","+6.24","+0.64%","1.109B","49,919","49,919","49,919","1.131M","+39.68%","353.29 1,409.43"
"DASH-USD","Dash USD","","87.39 +12.45 (+16.66%)","+12.76","+17.09%","1.095B","658.865M","658.865M","658.865M","12.556M","+109.27%","17.52 148.98"
"FBTC-USD","Function USD","","95,190.02 -433.93 (-0.45%)","-433.93","-0.45%","1.041B","30,519","30,519","30,519","10,940","-6.17%","59,300.90 130,062.89"
"TRUMP35336-USD","OFFICIAL TRUMP USD","","5.16 -0.24 (-4.46%)","-0.25","-4.53%","1.033B","183.248M","183.248M","183.248M","199.999M","-88.32%","2.77 75.35"
"QNT-USD","Quant USD","","82.87 +1.59 (+1.95%)","+1.32","+1.62%","1.003B","26.135M","26.135M","26.135M","12.073M","-18.69%","58.66 135.41"
"VET-USD","VeChain USD","","0.01 -0.00 (-2.77%)","-0.00","-2.61%","1.001B","19.043M","19.043M","19.043M","85.985B","-73.96%","0.01 0.05"
"NIGHT39064-USD","Midnight USD","","0.06 -0.00 (-4.39%)","-0.00","-4.40%","985.391M","14.905M","14.905M","14.905M","16.607B","+49.55%","0.02 1.81"
"PUMP36507-USD","Pump.fun USD","","0.00 -0.00 (-4.58%)","-0.00","-4.50%","968.242M","135.752M","135.752M","135.752M","354B","-64.40%","0.00 0.01"
"SOLVBTC-USD","SolvBTC USD","","95,025.41 -285.62 (-0.30%)","-285.62","-0.30%","962.532M","19,659","19,659","19,659","10,129","-6.40%","74,898.21 135,655.48"
"USDCE-USD","USD Coin Bridged USD","","1.00 +0.00 (+0.00%)","-0.00","-0.00%","945.67M","29.948M","29.948M","29.948M","945.975M","-0.08%","0.98 1.02"
"","","","","","","","","","","","",""
