No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"842","HKHGF","Hongkong Land Holdings Limited","17.82B","8.06","-","1.78B"
"843","HNGKY","Hongkong Land Holdings Limited","17.82B","41.00","-","1.78B"
"844","CAHPF","Evolution Mining Limited","17.80B","8.78","-2.07%","2.85B"
"845","EVMNY","Evolution Mining Limited","17.80B","88.86","-","2.85B"
"846","KAOCF","Kao Corporation","17.77B","37.14","-11.04%","11.29B"
"847","KAOOY","Kao Corporation","17.77B","7.77","-0.51%","11.29B"
"848","AMDUF","Amundi S.A.","17.74B","83.71","-","7.95B"
"849","CHKIF","China Southern Airlines Company Limited","17.68B","0.750","0.33%","24.89B"
"850","NATKY","National Atomic Company Kazatomprom JSC","17.63B","68.66","5.62%","3.40B"
"851","ZTOEF","ZTO Express (Cayman) Inc.","17.62B","17.00","-5.82%","6.67B"
"852","HRZRF","Horizon Robotics","17.60B","1.210","-3.20%","420.97M"
"853","BDNNY","Boliden AB (publ)","17.60B","124.25","-3.05%","9.67B"
"854","BLIDF","Boliden AB (publ)","17.60B","51.87","-","9.67B"
"855","ASBFF","Associated British Foods plc","17.60B","28.38","-2.32%","26.37B"
"856","ASBFY","Associated British Foods plc","17.60B","25.16","-0.44%","26.37B"
"857","CHEAF","China Eastern Airlines Corporation Limited","17.51B","0.628","8.29%","19.10B"
"858","CHNEY","China Eastern Airlines Corporation Limited","17.51B","11.52","33.18%","19.10B"
"859","YAHOF","LY Corporation","17.50B","2.700","-7.88%","13.43B"
"860","YAHOY","LY Corporation","17.50B","5.06","-1.94%","13.43B"
"861","AAFRF","Airtel Africa Plc","17.48B","4.816","3.57%","5.59B"
"862","AARTY","Airtel Africa Plc","17.48B","20.15","33.71%","5.59B"
"863","AKRBF","Aker BP ASA","17.45B","27.23","2.91%","11.46B"
"864","AKRBY","Aker BP ASA","17.45B","13.48","4.46%","11.46B"
"865","JBARF","Julius Bär Gruppe AG","17.35B","85.15","-","4.69B"
"866","JBAXY","Julius Bär Gruppe AG","17.35B","16.78","1.02%","4.69B"
"867","EXXRF","Exor N.V.","17.28B","83.50","-2.91%","-354.67M"
"868","HOKCF","The Hong Kong and China Gas Company Limited","17.25B","0.940","-","7.07B"
"869","HOKCY","The Hong Kong and China Gas Company Limited","17.25B","0.907","-4.25%","7.07B"
"870","YZCAY","Yankuang Energy Group Company Limited","17.24B","13.96","-1.48%","17.60B"
"871","YZCHF","Yankuang Energy Group Company Limited","17.24B","1.413","-","17.60B"
"872","UNPRF","Uniper SE","17.17B","42.00","-","77.82B"
"873","NCBDF","BANDAI NAMCO Holdings Inc.","17.09B","27.90","-","8.61B"
"874","NCBDY","BANDAI NAMCO Holdings Inc.","17.09B","13.10","-0.31%","8.61B"
"875","KGHPF","KGHM Polska Miedz S.A.","17.07B","85.60","-6.75%","9.64B"
