No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"162","FLEX","Flex Ltd.","24.14B","65.28","-1.97%","26.33B"
"163","EXE","Expand Energy Corporation","23.86B","100.20","0.68%","10.78B"
"164","CG","The Carlyle Group Inc.","23.86B","66.19","0.11%","3.21B"
"165","LULU","lululemon athletica inc.","23.78B","202.72","-1.12%","11.07B"
"166","FUTU","Futu Holdings Limited","23.77B","170.70","-3.29%","2.44B"
"167","CASY","Casey's General Stores, Inc.","23.57B","635.95","-0.22%","16.97B"
"168","RVMD","Revolution Medicines, Inc.","23.53B","121.74","-1.24%","-"
"169","TROW","T. Rowe Price Group, Inc.","23.32B","106.84","-0.45%","7.21B"
"170","VRSN","VeriSign, Inc.","23.11B","249.33","0.04%","1.63B"
"171","GFS","GlobalFoundries Inc.","23.09B","41.56","0.07%","6.79B"
"172","LITE","Lumentum Holdings Inc.","23.03B","324.79","-5.38%","1.84B"
"173","CYBR","CyberArk Software Ltd.","22.95B","454.71","0.23%","1.30B"
"174","RPRX","Royalty Pharma plc","22.82B","39.53","-0.48%","2.35B"
"175","FWONA","Formula One Group","22.49B","81.78","-1.30%","4.04B"
"176","FWONK","Formula One Group","22.19B","88.76","-1.92%","4.04B"
"177","RGLD","Royal Gold, Inc.","22.08B","261.67","0.97%","849.26M"
"178","KTOS","Kratos Defense & Security Solutions, Inc.","22.05B","130.59","4.84%","1.28B"
"179","ILMN","Illumina, Inc.","21.89B","143.28","-1.39%","4.29B"
"180","INCY","Incyte Corporation","20.97B","106.81","1.49%","4.81B"
"181","SSNC","SS&C Technologies Holdings, Inc.","20.96B","85.88","-0.20%","6.15B"
"182","GMAB","Genmab A/S","20.71B","34.24","1.14%","3.85B"
"183","NTAP","NetApp, Inc.","20.66B","104.33","-3.75%","6.64B"
"184","RIVN","Rivian Automotive, Inc.","20.66B","16.85","-1.23%","5.84B"
"185","CHRW","C.H. Robinson Worldwide, Inc.","20.63B","174.65","-0.39%","16.50B"
"186","SBAC","SBA Communications Corporation","20.56B","193.01","0.53%","2.79B"
"187","PODD","Insulet Corporation","20.25B","287.86","0.48%","2.52B"
"188","CHKP","Check Point Software Technologies Ltd.","20.05B","186.75","-0.95%","2.68B"
"189","UTHR","United Therapeutics Corporation","19.88B","461.81","-2.16%","3.13B"
"190","WWD","Woodward, Inc.","19.88B","331.33","-1.39%","3.57B"
"191","PFG","Principal Financial Group, Inc.","19.84B","90.29","-0.76%","15.80B"
"192","PTC","PTC Inc.","19.83B","166.75","-0.08%","2.74B"
"193","AVAV","AeroVironment, Inc.","19.78B","398.04","5.14%","1.37B"
"194","JBHT","J.B. Hunt Transport Services, Inc.","19.46B","205.77","-0.36%","12.00B"
"195","EXAS","Exact Sciences Corporation","19.43B","102.40","0.05%","3.08B"
"196","SMCI","Super Micro Computer, Inc.","19.25B","32.24","9.59%","21.05B"
"197","IREN","IREN Limited","19.01B","57.90","11.58%","688.55M"
"198","GRAB","Grab Holdings Limited","18.11B","4.430","0.91%","3.23B"
"199","TRMB","Trimble Inc.","17.81B","74.85","-4.73%","3.60B"
"200","ENTG","Entegris, Inc.","17.64B","116.34","2.47%","3.22B"
"201","MEDP","Medpace Holdings, Inc.","17.58B","624.09","0.98%","2.36B"
"202","EVRG","Evergy, Inc.","17.58B","76.35","0.75%","5.88B"
"203","TLN","Talen Energy Corporation","17.45B","382.00","-8.85%","2.34B"
"204","LNT","Alliant Energy Corporation","17.33B","67.43","0.54%","4.27B"
"205","TTD","The Trade Desk, Inc.","17.30B","35.78","-1.24%","2.79B"
"206","CDW","CDW Corporation","17.29B","132.81","0.39%","22.10B"
"207","HOLX","Hologic, Inc.","16.73B","75.08","0.07%","4.10B"
"208","ZG","Zillow Group, Inc.","16.71B","69.03","2.76%","2.48B"
"209","MTSI","MACOM Technology Solutions Holdings, Inc.","16.56B","221.05","0.97%","967.26M"
"210","DKNG","DraftKings Inc.","16.52B","33.18","-6.43%","5.46B"
"211","Z","Zillow Group, Inc.","16.39B","69.87","2.92%","2.48B"
"212","MRNA","Moderna, Inc.","16.18B","41.42","5.22%","2.23B"
"213","COO","The Cooper Companies, Inc.","16.17B","82.51","0.24%","4.09B"
"214","LI","Li Auto Inc.","16.13B","15.99","-2.47%","17.95B"
"215","GEN","Gen Digital Inc.","16.08B","26.07","-1.18%","4.47B"
"216","OKTA","Okta, Inc.","16.03B","90.46","-1.61%","2.84B"
"217","FIGR","Figure Technology Solutions, Inc.","16.03B","74.90","15.30%","382.60M"
"218","WMG","Warner Music Group Corp.","16.01B","30.65","-0.74%","6.71B"
"219","EWBC","East West Bancorp, Inc.","15.88B","115.45","-0.28%","2.57B"
"220","ROIV","Roivant Sciences Ltd.","15.80B","22.72","-2.49%","20.33M"
"221","NWS","News Corporation","15.60B","30.50","-0.65%","8.50B"
"222","FFIV","F5, Inc.","15.57B","267.95","-2.20%","3.09B"
"223","ROKU","Roku, Inc.","15.44B","104.52","-0.43%","4.54B"
"224","KSPI","Joint Stock Company Kaspi.kz","15.14B","79.36","0.52%","6.67B"
"225","NDSN","Nordson Corporation","15.12B","270.85","-0.39%","2.79B"
"226","HTHT","H World Group Limited","14.99B","48.72","1.25%","3.48B"
"227","BBIO","BridgeBio Pharma, Inc.","14.98B","77.75","1.95%","353.78M"
