No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"261","PCB","PCB Bancorp","317.53M","22.45","0.27%","107.74M"
"262","FSBW","FS Bancorp, Inc.","311.30M","41.98","-0.66%","140.95M"
"263","CBK","Commercial Bancgroup, Inc.","310.27M","25.35","-0.71%","89.68M"
"264","CZFS","Citizens Financial Services, Inc.","309.67M","64.43","2.68%","107.40M"
"265","FNLC","The First Bancorp, Inc.","304.16M","27.11","-0.77%","88.12M"
"266","PKBK","Parke Bancorp, Inc.","295.92M","25.52","-0.72%","71.77M"
"267","AVBH","Avidbank Holdings, Inc.","289.98M","26.48","-0.34%","22.13M"
"268","COSO","CoastalSouth Bancshares, Inc.","286.90M","23.95","-0.21%","74.76M"
"269","TSBK","Timberland Bancorp, Inc.","286.70M","36.38","-1.30%","81.62M"
"270","MBCN","Middlefield Banc Corp.","283.77M","35.09","1.04%","75.40M"
"271","JMSB","John Marshall Bancorp, Inc.","280.79M","19.88","-0.50%","59.27M"
"272","CHMG","Chemung Financial Corporation","270.64M","56.45","-0.49%","86.61M"
"273","WNEB","Western New England Bancorp, Inc.","264.55M","13.05","-0.61%","79.08M"
"274","NWFL","Norwood Financial Corp.","262.39M","28.47","0.67%","60.54M"
"275","FVCB","FVCBankcorp, Inc.","262.08M","14.50","1.19%","64.24M"
"276","OVLY","Oak Valley Bancorp","260.87M","31.60","2.17%","79.78M"
"277","MYFW","First Western Financial, Inc.","260.35M","26.80","0.34%","95.51M"
"278","FDBC","Fidelity D & D Bancorp, Inc.","256.41M","44.46","1.14%","88.60M"
"279","FUNC","First United Corporation","250.52M","38.56","-2.31%","83.66M"
"280","BPRN","Princeton Bancorp, Inc.","246.91M","36.51","-0.41%","76.58M"
"281","FINW","FinWise Bancorp","244.02M","17.96","0.06%","80.20M"
"282","BLFY","Blue Foundry Bancorp","240.83M","12.78","-1.08%","44.73M"
"283","FRAF","Franklin Financial Services Corporation","240.08M","53.60","-0.66%","77.78M"
"284","LCNB","LCNB Corp.","237.41M","16.74","-0.27%","89.31M"
"285","FBLA","FB Bancorp, Inc.","234.66M","12.78","-1.16%","67.97M"
"286","FXNC","First National Corporation","231.58M","25.70","-0.04%","81.21M"
"287","CFFI","C&F Financial Corporation","228.13M","70.45","-0.97%","125.43M"
"288","FCCO","First Community Corporation","225.77M","29.36","-0.64%","74.99M"
"289","FSFG","First Savings Financial Group, Inc.","224.79M","32.52","-0.23%","84.22M"
"290","VABK","Virginia National Bankshares Corporation","224.25M","41.58","2.92%","56.51M"
"291","HWBK","Hawthorn Bancshares, Inc.","221.90M","32.17","-1.29%","77.90M"
"292","OPBK","OP Bancorp","221.20M","14.86","0.68%","87.08M"
"293","NKSH","National Bankshares, Inc.","218.94M","34.42","-","51.98M"
"294","EFSI","Eagle Financial Services, Inc.","212.70M","40.10","0.28%","66.12M"
"295","CBNA","Chain Bridge Bancorp, Inc.","210.77M","32.12","-0.46%","53.10M"
"296","ATLO","Ames National Corporation","210.74M","23.70","0.21%","60.57M"
"297","MRBK","Meridian Corporation","209.04M","18.15","-","109.76M"
"298","PNBK","Patriot National Bancorp, Inc.","198.06M","1.620","-","17.20M"
"299","PEBK","Peoples Bancorp of North Carolina, Inc.","195.80M","36.88","-0.35%","85.50M"
"300","INBK","First Internet Bancorp","192.75M","22.14","-0.54%","46.73M"
"301","OVBC","Ohio Valley Banc Corp.","189.66M","40.26","-","64.21M"
"302","UBFO","United Security Bancshares","183.42M","10.44","-0.33%","46.50M"
"303","CFBK","CF Bankshares Inc.","180.20M","27.97","-0.59%","50.72M"
"304","CZWI","Citizens Community Bancorp, Inc.","179.00M","18.53","1.65%","58.99M"
"305","BVFL","BV Financial, Inc.","177.42M","18.48","0.33%","38.67M"
"306","CBFV","CB Financial Services, Inc.","174.38M","34.80","0.35%","40.24M"
"307","HNVR","Hanover Bancorp, Inc.","169.02M","23.50","-0.04%","68.04M"
"308","FCAP","First Capital, Inc.","167.38M","50.00","-1.48%","47.32M"
"309","EBMT","Eagle Bancorp Montana, Inc.","162.22M","20.76","0.05%","87.53M"
"310","LARK","Landmark Bancorp, Inc.","157.20M","25.88","-2.08%","64.37M"
"311","FNWD","Finward Bancorp","152.48M","35.24","-1.18%","66.56M"
"312","ECBK","ECB Bancorp, Inc.","152.14M","17.30","-0.26%","29.86M"
"313","MNSB","MainStreet Bancshares, Inc.","147.81M","20.39","-0.17%","69.37M"
"314","SBFG","SB Financial Group, Inc.","137.80M","22.08","1.15%","63.41M"
"315","RMBI","Richmond Mutual Bancorporation, Inc.","136.85M","14.16","1.14%","44.97M"
"316","SRBK","SR Bancorp, Inc.","132.59M","16.55","0.18%","31.13M"
"317","BCBP","BCB Bancorp, Inc.","131.29M","7.62","-5.57%","64.59M"
"318","RBKB","Rhinebeck Bancorp, Inc.","128.78M","11.86","-1.07%","45.31M"
"319","AFBI","Affinity Bancshares, Inc.","125.66M","20.38","0.37%","31.78M"
"320","FGBI","First Guaranty Bancshares, Inc.","124.36M","8.10","2.27%","13.04M"
"321","HYNE","Hoyne Bancorp, Inc.","116.76M","14.42","0.91%","13.19M"
"322","MGYR","Magyar Bancorp, Inc.","115.30M","17.64","-0.22%","35.21M"
"323","UNB","Union Bankshares, Inc.","114.97M","25.09","1.13%","52.53M"
"324","SFBC","Sound Financial Bancorp, Inc.","112.17M","44.01","0.24%","38.71M"
"325","LSBK","Lake Shore Bancorp, Inc.","112.08M","15.33","-0.58%","27.77M"
"326","BSBK","Bogota Financial Corp.","108.71M","8.62","1.11%","15.99M"
"327","RVSB","Riverview Bancorp, Inc.","107.90M","5.20","-","52.76M"
"328","PROV","Provident Financial Holdings, Inc.","103.72M","16.02","0.06%","39.82M"
"329","WSBK","Winchester Bancorp, Inc.","101.88M","10.96","-","20.25M"
"330","FNWB","First Northwest Bancorp","89.90M","10.20","2.10%","54.05M"
"331","PBHC","Pathfinder Bancorp, Inc.","88.36M","14.31","-0.21%","44.15M"
"332","IROQ","IF Bancorp, Inc.","87.80M","27.09","-0.40%","27.98M"
"333","SSBI","Summit State Bank","87.35M","12.90","3.20%","27.37M"
"334","AUBN","Auburn National Bancorporation, Inc.","86.99M","24.90","2.43%","32.34M"
"335","BOTJ","Bank of the James Financial Group, Inc.","83.48M","18.38","-0.14%","47.67M"
