No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"280","XYL","Xylem Inc.","35.46B","145.66","0.59%","8.89B"
"281","EXPE","Expedia Group, Inc.","35.45B","289.28","-1.70%","14.37B"
"282","OTIS","Otis Worldwide Corporation","35.34B","90.67","0.35%","14.31B"
"283","WEC","WEC Energy Group, Inc.","35.28B","108.47","0.29%","9.55B"
"284","IR","Ingersoll Rand Inc.","34.75B","87.95","0.72%","7.46B"
"285","PCG","PG&E Corporation","34.42B","15.66","-0.76%","24.76B"
"286","RJF","Raymond James Financial, Inc.","34.08B","172.79","0.72%","14.02B"
"287","LYV","Live Nation Entertainment, Inc.","33.69B","145.09","-0.44%","24.57B"
"288","HUM","Humana Inc.","33.29B","276.79","-2.52%","126.36B"
"289","EXR","Extra Space Storage Inc.","32.97B","148.79","1.13%","3.42B"
"290","FIS","Fidelity National Information Services, Inc.","32.86B","63.45","-","10.46B"
"291","IBKR","Interactive Brokers Group, Inc.","32.82B","73.70","0.03%","6.00B"
"292","KMB","Kimberly-Clark Corporation","32.80B","98.84","-1.56%","19.72B"
"293","DG","Dollar General Corporation","32.80B","149.00","-1.80%","42.12B"
"294","KVUE","Kenvue Inc.","32.72B","17.08","-1.04%","15.01B"
"295","ACGL","Arch Capital Group Ltd.","32.68B","90.49","-0.49%","19.54B"
"296","FITB","Fifth Third Bancorp","32.66B","49.41","0.80%","8.13B"
"297","MTB","M&T Bank Corporation","32.65B","212.41","-0.08%","9.19B"
"298","FOXA","Fox Corporation","32.06B","72.21","-0.47%","16.47B"
"299","EQT","EQT Corporation","31.81B","50.97","2.10%","7.71B"
"300","WTW","Willis Towers Watson Public Limited Company","31.55B","329.46","0.30%","9.81B"
"301","EME","EMCOR Group, Inc.","31.48B","703.22","3.09%","16.24B"
"302","ADM","Archer-Daniels-Midland Company","31.30B","65.14","-2.15%","83.21B"
"303","VRSK","Verisk Analytics, Inc.","30.97B","222.20","0.07%","3.03B"
"304","VICI","VICI Properties Inc.","30.79B","28.81","1.35%","3.97B"
"305","FOX","Fox Corporation","30.58B","65.68","0.09%","16.47B"
"306","ROL","Rollins, Inc.","30.06B","62.48","0.50%","3.68B"
"307","MTD","Mettler-Toledo International Inc.","29.93B","1,465.11","-2.10%","3.94B"
"308","SYF","Synchrony Financial","29.40B","81.64","5.07%","9.65B"
"309","ULTA","Ulta Beauty, Inc.","29.36B","661.91","-0.48%","11.98B"
"310","LEN","Lennar Corporation","29.12B","117.89","-3.57%","34.19B"
"311","HPE","Hewlett Packard Enterprise Company","28.99B","21.73","-1.03%","34.30B"
"312","NRG","NRG Energy, Inc.","28.84B","150.49","-5.05%","29.78B"
"313","CBOE","Cboe Global Markets, Inc.","28.66B","273.85","1.12%","4.62B"
"314","HBAN","Huntington Bancshares Incorporated","28.34B","18.08","0.70%","7.50B"
"315","DOV","Dover Corporation","28.28B","206.20","0.16%","7.92B"
"316","DTE","DTE Energy Company","28.11B","135.37","0.56%","14.82B"
"317","IRM","Iron Mountain Incorporated","28.09B","95.04","2.56%","6.64B"
"318","KHC","The Kraft Heinz Company","28.05B","23.70","-2.25%","25.16B"
"319","AEE","Ameren Corporation","27.96B","103.36","0.12%","8.64B"
"320","NTRS","Northern Trust Corporation","27.82B","147.08","-0.01%","7.93B"
"321","DLTR","Dollar Tree, Inc.","27.80B","139.80","-1.00%","18.96B"
"322","CSGP","CoStar Group, Inc.","27.75B","65.47","3.30%","3.06B"
"323","CHTR","Charter Communications, Inc.","27.61B","189.23","-2.76%","55.10B"
"324","ATO","Atmos Energy Corporation","27.52B","170.13","-0.09%","4.70B"
"325","HAL","Halliburton Company","27.45B","32.62","-0.49%","22.14B"
"326","DXCM","DexCom, Inc.","27.42B","70.30","1.53%","4.52B"
