No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"184","RBLX","Roblox Corporation","62.16B","88.55","4.61%","4.46B"
"185","KMI","Kinder Morgan, Inc.","62.12B","27.92","1.86%","16.42B"
"186","WPM","Wheaton Precious Metals Corp.","61.53B","134.66","-0.62%","1.83B"
"187","CNI","Canadian National Railway Company","61.13B","99.30","0.07%","12.35B"
"188","TRV","The Travelers Companies, Inc.","60.27B","270.20","-0.42%","48.40B"
"189","SRE","Sempra","60.20B","92.23","0.72%","13.71B"
"190","AMX","América Móvil, S.A.B. de C.V.","59.82B","20.37","2.41%","51.01B"
"191","APD","Air Products and Chemicals, Inc.","59.49B","267.26","0.48%","12.04B"
"192","ET","Energy Transfer LP","59.48B","17.33","-0.77%","79.76B"
"193","BDX","Becton, Dickinson and Company","59.38B","208.41","0.03%","21.84B"
"194","SU","Suncor Energy Inc.","59.09B","50.16","2.42%","35.46B"
"195","URI","United Rentals, Inc.","58.93B","926.09","-0.05%","15.99B"
"196","E","Eni S.p.A.","58.30B","38.55","0.94%","101.56B"
"197","AFL","Aflac Incorporated","57.51B","109.73","0.11%","17.70B"
"198","AZO","AutoZone, Inc.","57.49B","3,469.87","0.13%","19.29B"
"199","MPLX","MPLX LP","57.42B","56.46","0.88%","11.63B"
"200","DLR","Digital Realty Trust, Inc.","57.19B","163.54","1.85%","5.84B"
"201","EOG","EOG Resources, Inc.","56.97B","105.00","-2.80%","22.65B"
"202","VST","Vistra Corp.","56.67B","167.25","-7.18%","17.19B"
"203","O","Realty Income Corporation","56.55B","61.29","0.94%","5.61B"
"204","PSX","Phillips 66","56.43B","140.05","0.03%","131.95B"
"205","VLO","Valero Energy Corporation","56.21B","184.30","-0.15%","116.55B"
"206","ARES","Ares Management Corporation","55.83B","170.80","0.73%","5.36B"
"207","ZTS","Zoetis Inc.","55.04B","124.89","-0.31%","9.40B"
"208","F","Ford Motor Company","54.53B","13.69","-0.91%","189.59B"
"209","TRP","TC Energy Corporation","54.33B","54.65","0.59%","10.52B"
"210","CMG","Chipotle Mexican Grill, Inc.","53.12B","40.18","-0.46%","11.79B"
"211","MPC","Marathon Petroleum Corporation","52.96B","176.18","-0.79%","133.58B"
"212","D","Dominion Energy, Inc.","52.01B","60.91","0.94%","15.81B"
"213","PSA","Public Storage","51.75B","294.14","0.38%","4.80B"
"214","MET","MetLife, Inc.","51.16B","77.65","-0.32%","71.93B"
"215","GWW","W.W. Grainger, Inc.","50.77B","1,067.78","0.42%","17.75B"
"216","TAK","Takeda Pharmaceutical Company Limited","50.71B","16.10","-1.41%","29.85B"
"217","CBRE","CBRE Group, Inc.","50.66B","172.81","1.16%","39.33B"
"218","CAH","Cardinal Health, Inc.","50.58B","212.89","-0.27%","234.31B"
"219","ALL","The Allstate Corporation","50.57B","193.24","-1.14%","66.85B"
"220","TGT","Target Corporation","50.09B","110.63","-0.45%","105.24B"
"221","AU","AngloGold Ashanti plc","50.03B","99.10","0.56%","8.58B"
"222","AME","AMETEK, Inc.","49.51B","215.06","0.02%","7.16B"
"223","DEO","Diageo plc","49.27B","88.51","-0.94%","20.25B"
"224","CCJ","Cameco Corporation","49.15B","116.45","3.20%","2.49B"
"225","HEI","HEICO Corporation","49.12B","352.46","-1.56%","4.49B"
"226","EW","Edwards Lifesciences Corporation","48.87B","84.22","-0.32%","5.88B"
"227","FERG","Ferguson Enterprises Inc.","48.56B","248.35","-0.60%","31.16B"
"228","AMP","Ameriprise Financial, Inc.","47.50B","511.26","0.62%","18.51B"
"229","CARR","Carrier Global Corporation","47.23B","56.08","0.95%","22.06B"
"230","CTVA","Corteva, Inc.","47.01B","69.57","-1.32%","17.47B"
"231","OKE","ONEOK, Inc.","46.63B","74.11","1.04%","31.56B"
"232","ROK","Rockwell Automation, Inc.","46.62B","414.67","-1.53%","8.34B"
"233","FNV","Franco-Nevada Corporation","46.36B","242.41","0.87%","1.53B"
"234","DAL","Delta Air Lines, Inc.","45.83B","70.66","-0.95%","63.36B"
"235","DHI","D.R. Horton, Inc.","45.44B","155.57","-3.37%","34.25B"
"236","MSCI","MSCI Inc.","45.12B","600.48","0.53%","3.06B"
"237","YUM","Yum! Brands, Inc.","44.60B","160.64","-0.25%","8.06B"
"238","GFI","Gold Fields Limited","44.58B","49.10","-1.48%","6.56B"
"239","LNG","Cheniere Energy, Inc.","44.40B","206.29","1.75%","18.94B"
"240","RDDT","Reddit, Inc.","44.00B","232.17","1.50%","1.90B"
"241","ETR","Entergy Corporation","43.58B","96.35","0.71%","12.73B"
"242","HLN","Haleon plc","43.38B","9.81","0.41%","15.10B"
"243","HEI.A","HEICO Corporation","43.00B","272.36","-1.37%","4.49B"
"244","WCN","Waste Connections, Inc.","42.66B","166.66","-0.58%","9.35B"
"245","OXY","Occidental Petroleum Corporation","42.21B","42.85","-0.75%","26.60B"
"246","ASX","ASE Technology Holding Co., Ltd.","41.95B","19.46","1.41%","20.66B"
"247","EL","The Estée Lauder Companies Inc.","41.20B","114.32","-1.15%","14.45B"
"248","GRMN","Garmin Ltd.","41.00B","213.17","0.27%","6.94B"
"249","IQV","IQVIA Holdings Inc.","40.91B","240.22","-0.44%","15.90B"
"250","ABEV","Ambev S.A.","40.78B","2.590","-0.38%","16.98B"
"251","VMC","Vulcan Materials Company","40.53B","306.72","1.66%","7.88B"
"252","KR","The Kroger Co.","40.21B","63.54","1.68%","147.23B"
"253","HMC","Honda Motor Co., Ltd.","40.18B","30.93","-0.58%","145.44B"
"254","PUK","Prudential plc","40.17B","32.10","0.67%","13.34B"
"255","KGC","Kinross Gold Corporation","40.13B","33.51","0.78%","6.44B"
"256","HSY","The Hershey Company","40.10B","197.76","-1.65%","11.49B"
"257","A","Agilent Technologies, Inc.","40.04B","141.23","-2.49%","6.95B"
"258","TKO","TKO Group Holdings, Inc.","39.98B","204.92","-1.90%","2.55B"
"259","PRU","Prudential Financial, Inc.","39.97B","114.22","-1.90%","57.60B"
"260","LVS","Las Vegas Sands Corp.","39.83B","58.91","-2.80%","12.26B"
"261","XYZ","Block, Inc.","39.72B","65.91","1.52%","23.97B"
"262","NUE","Nucor Corporation","39.68B","173.38","-0.81%","31.88B"
"263","FIX","Comfort Systems USA, Inc.","39.64B","1,126.50","3.25%","8.32B"
"264","TRGP","Targa Resources Corp.","39.60B","184.50","1.41%","17.38B"
"265","PEG","Public Service Enterprise Group Incorporated","39.55B","79.23","-0.23%","11.72B"
"266","CCI","Crown Castle Inc.","39.49B","90.68","0.30%","6.42B"
"267","AIG","American International Group, Inc.","39.48B","73.16","-1.18%","27.12B"
"268","MLM","Martin Marietta Materials, Inc.","39.44B","654.02","2.04%","6.90B"
"269","WAB","Westinghouse Air Brake Technologies Corporation","39.31B","229.95","0.63%","10.79B"
"270","ALC","Alcon Inc.","39.15B","79.58","-0.12%","10.19B"
